method,time,outlet_concentration,mass,budget_mass,raw_mass,mass_rate,transport_rate,dirichlet_source_rate,mass_balance_residual_rate,mass_balance_relative_residual,limiter_mass_change_abs,limiter_mass_residual,min_c,max_c,raw_min_c_before_limiter,raw_max_c_before_limiter,raw_below_zero_before_limiter,raw_above_one_before_limiter
FEM,24.200000000000003,0.9183610548053746,960.4245423384956,960.4245423384508,960.4245423384957,8.62061346533551,-8.732374181495434,-0.11176071616323749,1.227316859253591e-15,7.027395034526441e-17,0.227057077819721,0.0,0.07800921533790611,1.0,0.07739990367528923,1.00696539481194,0,140
FEM,24.400000000000002,0.9191023225365639,962.1293910583688,962.1293910583234,962.1293910583688,8.52424359936606,-8.634746865538695,-0.11050326617545936,-3.485232935585003e-14,2.0181442431705843e-15,0.22391628516368195,-1.1368683772161603e-13,0.0790099875053265,1.0,0.078406763195085,1.0069083302601416,0,139
FEM,24.6,0.9198340429024516,963.8152634557357,963.8152634556899,963.8152634557357,8.429361986834465,-8.538629879559167,-0.10926789272696207,-1.6505460193050325e-13,9.66516901766697e-15,0.22082729433054793,0.0,0.08004807905410621,1.0,0.0794509020740913,1.0068521148942104,0,139
FEM,24.8,0.9205563938575005,965.4824516207888,965.4824516207425,965.4824516207889,8.33594082526588,-8.443995248385697,-0.10805442312252853,-4.079245621846361e-14,2.415471291640984e-15,0.21778382246748146,0.0,0.0811229319767073,1.0,0.08053177632994699,1.006796684706915,0,139
FEM,25.0,0.9212695525103862,967.1312410386076,967.1312410385608,967.1312410386076,8.243947089094377,-8.350809319723961,-0.1068622306324041,1.0785079426756106e-13,6.457505502658746e-15,0.21478568113707258,1.1368683772161603e-13,0.08223396745983728,1.0,0.08164880484923676,1.0067420161760299,0,139
FEM,25.200000000000003,0.9219736924265343,968.7619110597375,968.7619110596902,968.7619110597375,8.153350105649224,-8.2590408688665,-0.1056907632195766,-1.0470747532909108e-13,6.3389609636019955e-15,0.2118324522426751,0.0,0.08338058788930215,1.0,0.08280138837633974,1.0066881046094556,0,139
FEM,25.400000000000002,0.9226689828820274,970.3747352344733,970.3747352344254,970.3747352344732,8.064120873678462,-8.168660391136402,-0.10453951746022888,-1.8338542490115017e-13,1.1224938736595731e-14,0.20892359651520648,-1.1368683772161603e-13,0.0845621789850999,1.0,0.08398891136375566,1.006634948896588,0,139
FEM,25.6,0.9233555896317654,971.9699815728718,971.9699815728235,971.9699815728718,7.976231691992552,-8.079639715035714,-0.1034080230456528,3.024490380365563e-15,1.8716740393366214e-16,0.20606409535184783,2.2737367544323206e-13,0.08577812728863932,1.0,0.08521074394166496,1.0065825463654103,0,140
FEM,25.8,0.9240336726650119,973.5479130659635,973.5479130659148,973.5479130659635,7.889657465458413,-7.991953297014028,-0.10229583155715105,4.6906055428674875e-14,2.9345801761751732e-15,0.2032500201677293,0.0,0.08702779788488343,1.0,0.08646625923577357,1.006530891526527,0,140
FEM,26.0,0.9247033875598487,975.1087876549245,975.1087876548754,975.1087876549246,7.8043729448057775,-7.905575459250336,-0.10120251444722447,9.67555029152134e-14,6.119447180912251e-15,0.20048332227543117,1.1368683772161603e-13,0.0883105525598901,1.0,0.08775481095766549,1.0064799765101289,0,141
FEM,26.200000000000003,0.9253648860522669,976.6528585311016,976.6528585310521,976.6528585311016,7.72035438088551,-7.82048203878918,-0.10012765790590003,-3.937388609598358e-14,2.5173567243480366e-15,0.19777045246973954,-2.2737367544323206e-13,0.08962576423353436,1.0,0.0890757514131492,1.0064297915741955,0,141
FEM,26.400000000000002,0.9260183081708091,978.1803749817802,978.1803749817301,978.1803749817802,7.63758225339302,-7.736653112234826,-0.09907085884451822,-1.1720615797350398e-13,7.574732657208861e-15,0.19508709324770873,1.1368683772161603e-13,0.09097273310438234,1.0,0.09042844579458123,1.0063803256255883,0,141
FEM,26.6,0.9266637899814352,979.6915813662968,979.6915813662463,979.6915813662968,7.556031922582633,-7.6540636556984225,-0.09803173311772206,1.6350636122819395e-14,1.0681016554287696e-15,0.19244209457610706,-1.1368683772161603e-13,0.09235078026460136,1.0,0.09181218827330453,1.0063315673015325,0,141
FEM,26.8,0.9273014635898068,981.186717263188,981.1867172631371,981.1867172631881,7.4756794844569185,-7.57268938911329,-0.09700990465936085,-4.829686997553928e-14,3.1888849188085465e-15,0.18983597526096246,-1.1368683772161603e-13,0.09375922608695396,1.0,0.09322629541050068,1.0062835046653735,0,141
FEM,27.0,0.9279314589895916,982.6660176139126,982.6660176138611,982.6660176139126,7.396501753622715,-7.492506760981289,-0.09600500736122705,-7.071383409384957e-14,4.718970322595726e-15,0.18726859612024715,0.0,0.09519738974942377,1.0,0.0946700844413161,1.006236125608008,0,141
FEM,27.200000000000003,0.9285539048462657,984.1297128499172,984.1297128498652,984.1297128499172,7.318476180022913,-7.413492864805235,-0.0950166847847399,-1.0364625824266227e-13,6.990379577668099e-15,0.1847395196880372,-1.1368683772161603e-13,0.09666458964416635,1.0,0.09614287269660869,1.0061894180166313,0,141
FEM,27.400000000000002,0.9291689283407475,985.5780290130006,985.5780290129483,985.5780290130007,7.241580815417592,-7.335625405261837,-0.09404458984661779,3.0107860649053464e-14,2.0521672649377826e-15,0.18224819545912418,0.0,0.0981601442111441,1.0,0.09764397792462443,1.0061433698796185,0,141
FEM,27.6,0.9297766545961312,987.0111878770938,987.011187877041,987.0111878770939,7.165794320466716,-7.2588827049628115,-0.09308838449906416,7.659194459219698e-14,5.275739235999524e-15,0.17979403826063742,1.1368683772161603e-13,0.09968337290972093,1.0,0.09917271904464069,1.006097969349614,0,141
